carrier_name	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
American Airlines Inc.	33.50298374004943	29.7621672493481	28.63266565247391	27.762637850994142	25.04535696776708	26.339906251967076	24.229801794135422	24.87656783289953	24.747851855579	26.8498024081728	21.184623202825538	22.16590913398808	22.398922612830034	25.980645224914653	28.987225509272918	23.56425576831075
Delta Air Lines Inc.	46.74313054334559	37.41232785068966	31.04403087537149	31.929596290281843	32.86228896092342	36.82421740746883	36.16010330542675	26.97833423540918	27.958154106955984	26.813402508623145	25.558577117070662	26.041372190841937	23.22776169704006	23.632948504112797	22.130271501711412	23.205764352694302
United Air Lines Inc.	36.361760763285254	34.488682772866596	28.940579615263644	26.23311730666726	25.80874639327246	23.017490067306138	23.348985533419985	24.357497082273206	27.92302757087121	24.21547040607421	24.416432996973676	23.388711036089262	19.706809305278778	19.428688076876323	26.070409647590512	27.40921370641927
